FlightID,Airline,Origin,Destination,DepartureTime,ArrivalTime,Price
1,Johnson-Adkins,Watkinsbury,Judyberg,2024-02-19 17:41:50,2024-04-04 04:09:20,297.45317008709105
2,"Torres, James and Harmon",New Michelleburgh,Lake Robert,2024-03-22 04:14:25,2024-03-24 18:40:59,951.0781404788933
3,Foster PLC,West James,Anntown,2024-02-09 20:29:31,2024-03-20 09:39:44,632.4959580122361
4,Frank Inc,West Josephfurt,Jonesshire,2024-01-17 02:04:08,2024-03-14 12:07:13,58.487443678440414
5,Smith-Jones,Garciachester,Douglastown,2024-04-24 18:58:53,2024-03-24 06:19:49,431.822196408542
6,Gates Inc,Ritaborough,New Heathertown,2024-02-10 18:36:56,2024-01-14 21:20:10,835.5326939323754
7,"Carter, Rivera and Clark",East Kristenfurt,Melaniehaven,2024-03-15 09:18:35,2024-02-28 03:39:17,627.9856015865656
8,"Stokes, Luna and Davis",Valdezmouth,New Sarahfort,2024-04-19 14:47:51,2024-02-29 01:11:39,700.2648004046712
9,Ellis Ltd,Cheyennefurt,Jenkinsside,2024-04-06 08:56:33,2024-03-25 15:54:22,578.8658693121685
10,Benson-Moore,Moraleston,Lopezborough,2024-01-29 22:00:56,2024-01-19 16:05:36,984.2584285544577
11,Stanley and Sons,East Christopher,North Elizabeth,2024-04-14 10:20:37,2024-02-21 13:50:16,601.1932556727083
12,Davis Ltd,Munozville,Collinsburgh,2024-04-12 16:56:49,2024-01-31 17:28:58,823.8680906864518
13,Ramirez-Jones,North Dennisshire,New Jacobtown,2024-04-13 12:47:02,2024-01-09 11:28:28,731.6800094128412
14,"Washington, Beck and Goodwin",Port Leahburgh,South Scottville,2024-04-21 00:46:43,2024-04-14 23:24:59,750.254707693577
15,Gonzales-Young,New Bryanfort,Port Linda,2024-01-09 13:37:33,2024-04-22 20:47:22,624.0766545187006
16,Munoz-Stewart,Santanaland,Franceston,2024-03-08 22:19:58,2024-02-11 13:02:40,387.73770798035747
17,Warren-Scott,Cervantesside,New Jodiview,2024-02-15 09:29:23,2024-02-04 00:52:55,406.89285088604925
18,"Lara, Humphrey and Hernandez",Williammouth,Amandachester,2024-02-05 11:51:25,2024-02-01 12:38:23,483.21426084061534
19,"Robbins, Gordon and Collins",Lewisburgh,Davidfurt,2024-02-25 20:51:37,2024-02-18 05:28:50,219.12130163165548
20,Hernandez Ltd,North Debrabury,New Kevin,2024-04-22 00:42:51,2024-02-04 02:40:08,622.6203640087884
21,Miller-Avila,Nancyfort,South Paultown,2024-02-24 08:18:19,2024-01-14 13:12:37,403.88983415630275
22,Francis Ltd,Kleinchester,Lake Amberberg,2024-05-03 14:21:12,2024-03-07 21:31:30,965.4526654164641
23,Gonzalez Group,New Juliemouth,Port Cherylhaven,2024-04-13 15:37:23,2024-01-10 06:34:18,570.42798242692
24,Berry and Sons,Brittanyland,Webbfort,2024-04-29 22:47:14,2024-04-25 01:18:04,817.4162169054551
25,"Thomas, Schwartz and Jones",Port Bruceburgh,Lake Richard,2024-05-01 02:24:27,2024-04-23 20:50:05,353.6483082110271
26,"Adams, Andrews and Wang",Port Marieton,Williamsmouth,2024-02-13 14:47:08,2024-04-13 13:16:49,421.3596097525264
27,Jacobs Inc,Andremouth,Patelfort,2024-02-27 14:46:34,2024-01-30 11:35:47,962.9592257731838
28,Bennett-Rubio,Lake Carmentown,Hallmouth,2024-02-22 22:21:34,2024-05-06 20:57:49,105.6702590593323
29,Rosario-Murphy,East Chelsea,Port Steven,2024-04-29 03:55:10,2024-01-07 18:26:30,473.02007959471416
30,"Roberts, Mendez and Hill",Shannonton,East Kathleenville,2024-02-18 16:01:01,2024-04-15 15:30:02,125.69070986654447
31,Blanchard-Love,East Eric,Boydchester,2024-01-09 18:47:54,2024-02-06 05:57:28,698.8430826096816
32,"Hammond, Johnson and Thompson",Lauriefurt,South Paul,2024-03-06 11:00:10,2024-03-04 09:14:13,209.4710515674421
33,"Salazar, Lee and Davis",Port Laurie,North James,2024-01-28 02:26:42,2024-03-08 15:20:29,193.87088042859196
34,Rodriguez-Arellano,Jamieburgh,Brownview,2024-01-26 00:54:45,2024-02-23 20:00:55,566.7105569012787
35,Wood-Dixon,Martinezview,Mitchellport,2024-01-02 05:17:56,2024-04-13 16:44:39,753.0943227924248
36,Thompson LLC,North Erik,West Christian,2024-05-01 17:26:03,2024-01-15 15:01:04,471.5634990231718
37,Cardenas Group,Ortizborough,North Denise,2024-02-28 21:05:59,2024-02-08 06:20:27,451.2875517248258
38,Hall-Hancock,New Johnathan,Port Bridget,2024-03-02 14:49:25,2024-04-10 23:50:33,802.9611454336565
39,"Martinez, Thompson and Pruitt",Osborneborough,Warrenbury,2024-02-17 08:39:05,2024-03-04 14:53:12,374.0743056726162
40,"Jenkins, Osborne and Petersen",West Brian,Craigburgh,2024-01-20 16:31:01,2024-01-16 15:07:37,369.02088009648685
41,Caldwell-Caldwell,West Aaron,West Michelle,2024-03-06 02:26:35,2024-04-13 00:16:56,585.4206172747973
42,Brown LLC,Brandonfurt,New Denisemouth,2024-02-23 09:19:05,2024-01-21 09:02:21,756.0371115813567
43,Gonzalez-Mcguire,Wardland,Washingtonstad,2024-05-04 19:01:52,2024-03-07 00:08:58,675.791625581354
44,Clark LLC,North Yesenia,Johnsonberg,2024-02-21 01:12:56,2024-01-07 20:50:57,300.8114905866786
45,Howell Ltd,Lake Ericamouth,Port Joseph,2024-02-20 01:04:58,2024-02-24 14:47:32,393.7431321657403
46,"Lang, Robbins and Martinez",New Jeffery,Shawnfort,2024-04-06 06:58:58,2024-03-31 17:54:25,688.417343828978
47,"Daniels, Brown and Levy",Turnerfort,Sanchezbury,2024-01-05 23:23:25,2024-04-02 19:14:27,805.426212922044
48,"Lewis, Pierce and Green",North Claire,Nicoleberg,2024-01-09 07:12:51,2024-01-19 22:45:52,486.3434160291555
49,Martin-Brown,Lake Adam,Hallshire,2024-05-03 21:15:02,2024-01-29 18:18:46,54.295792856278865
50,"Ryan, Allen and Adams",North Kelseymouth,Timothyhaven,2024-02-03 01:06:15,2024-03-01 10:41:20,788.9942340499983
51,Howard-Contreras,New Caitlynville,Laurenport,2024-04-25 22:28:59,2024-03-25 19:44:39,998.4782500766197
52,Hardy-Hartman,Kristinaside,Port Charlesport,2024-03-10 02:49:11,2024-04-23 23:16:29,436.60422813751427
53,"Jones, Ward and Crawford",Paulland,East Leah,2024-04-30 22:38:05,2024-04-08 16:11:49,803.7224688229293
54,Werner and Sons,South Rubenview,North Erin,2024-03-16 13:55:24,2024-03-25 03:54:46,547.8124483592401
55,"Lopez, Copeland and Hale",Josephburgh,Kellyberg,2024-03-30 03:02:54,2024-03-29 08:21:11,539.8827106816079
56,"Ramirez, Williams and Curry",Port Samanthahaven,Mossview,2024-03-20 09:34:58,2024-02-25 21:40:46,853.8430111527364
57,Williams Ltd,Lake Amymouth,Freemanmouth,2024-02-07 09:21:21,2024-03-14 21:18:34,622.6237395465723
58,Harrison LLC,Morganfort,Port Allisonville,2024-02-21 17:59:31,2024-01-29 00:43:08,100.65707902690934
