HotelID,Name,Location,Rating,PricePerNight,HotelCountry
1,Gomez-Russell,East Teresa,3,211.84647758793798,Germany
2,"Boyd, Lee and Barton",Gonzalestown,2,236.24360454579133,Belarus
3,Gonzalez LLC,West Robertburgh,4,30.036448921254067,Niue
4,Strickland-Peterson,North Janetchester,1,34.00663827144429,Benin
5,Rich Group,Pedrobury,4,73.01164365218489,Luxembourg
6,Taylor PLC,Clarkshire,1,463.362458944708,Austria
7,"Clark, Mills and Hoover",Tomborough,3,210.25631093403317,Philippines
8,Johnson-Poole,Jacquelinefurt,1,183.90083627299367,United Arab Emirates
9,"Richardson, Stevens and Holmes",Hubbardberg,2,342.0945091263959,Yemen
10,Ortiz-Roberts,Zacharyfort,4,90.33808387024405,Guinea
11,Brown LLC,Rodriguezfort,2,99.99863138867369,New Zealand
12,Vega LLC,Tammychester,2,161.3909052538107,Poland
13,Garrison Group,North Pamelaborough,4,97.47526106413162,Bermuda
14,Simpson Group,Charlesshire,1,296.45951253770204,Netherlands
15,"Stewart, May and Soto",Nancyfort,1,327.3333783874386,Martinique
16,"Villa, Mason and Robinson",Smithville,2,68.18375891096775,Anguilla
17,Stevens-Cohen,West Ashley,2,314.8281420128969,South Georgia and the South Sandwich Islands
18,"Cooke, Chambers and Morgan",Christopherfurt,4,414.11834621288114,United Kingdom
19,Short-Hunt,Lake Catherine,1,203.7812149790211,Angola
20,Miller PLC,East Raymond,4,170.38837899491222,Montserrat
21,Williams-Hampton,West Sarahshire,2,438.78688686639197,Switzerland
22,Ho LLC,New Johnathanfort,3,53.050759890208354,Qatar
23,Johnson LLC,Hallfort,1,207.46958027566006,Guatemala
24,Nguyen Inc,North Jeremy,4,388.1060535680654,Mauritius
25,Odom PLC,North Miranda,2,284.10332081002787,Singapore
26,Barber PLC,Brianhaven,1,340.9576258799288,Turks and Caicos Islands
27,"Carlson, Phelps and Velasquez",Lake Jessica,1,190.24193257179968,Iceland
28,Torres and Sons,New Kayla,1,106.69788019092964,British Indian Ocean Territory (Chagos Archipelago)
29,George Inc,Jillberg,3,243.6079896154362,Israel
30,"Ramirez, Espinoza and Myers",Lake Madison,4,205.62066647783135,Azerbaijan
31,"Armstrong, Smith and Wilcox",West Jason,3,476.4505107181144,Holy See (Vatican City State)
32,Peterson Ltd,Reyesbury,1,359.8491307244771,Finland
33,Marquez PLC,Port Paulfort,4,288.1140097875442,Gibraltar
34,"Hernandez, Jacobs and Lopez",Pinedaborough,2,439.7459165141483,Singapore
35,"Carter, Mitchell and Patel",West Michaelburgh,3,268.48213104697686,Seychelles
36,"Green, Martin and Rivera",Hunterfurt,3,243.7466539496786,Mali
37,Dalton Group,South Christopher,1,309.7433851585546,South Africa
38,Herrera-Green,Adamhaven,4,483.2640690007397,Brunei Darussalam
