PaymentID,BookingID,Amount,PaymentDate,PaymentMethod
1,1,559.1917958750714,2024-02-06,JCB 16 digit
2,2,106.54486190636194,2024-01-05,VISA 16 digit
3,3,725.3937232952893,2024-02-04,Diners Club / Carte Blanche
4,4,357.9491220219451,2024-04-15,VISA 13 digit
5,5,1097.888417131037,2024-04-13,JCB 15 digit
6,6,350.7833626308472,2024-04-01,VISA 19 digit
7,7,603.8020583200109,2024-02-02,VISA 19 digit
8,8,928.757103252159,2024-03-03,JCB 16 digit
9,9,1307.037116729138,2024-02-29,VISA 13 digit
10,10,1068.1729324785558,2024-04-24,American Express
11,11,1273.9217463617376,2024-03-31,Mastercard
12,12,681.5179646907197,2024-04-04,Mastercard
13,13,382.3676730719306,2024-02-10,VISA 16 digit
14,14,829.4884755740908,2024-02-04,JCB 16 digit
15,15,448.4825791940716,2024-04-29,Mastercard
16,16,906.1997333034064,2024-04-19,Discover
17,17,545.830221375305,2024-05-01,JCB 16 digit
18,18,1432.215548415548,2024-02-28,JCB 16 digit
19,19,739.9629218880119,2024-04-07,Maestro
20,20,728.6540676783798,2024-03-11,VISA 16 digit
21,21,876.9339018924086,2024-02-28,VISA 19 digit
22,22,1115.0539961613072,2024-02-22,VISA 19 digit
23,23,774.6190203710977,2024-04-13,VISA 19 digit
24,24,357.95052685820053,2024-02-15,VISA 16 digit
25,25,904.0383131819043,2024-03-09,VISA 16 digit
26,26,127.91627031429161,2024-03-21,Diners Club / Carte Blanche
27,27,857.6261048029091,2024-02-03,Discover
28,28,844.6917958803114,2024-04-18,JCB 15 digit
29,29,225.24869066261243,2024-02-27,Maestro
30,30,972.4113093442093,2024-03-27,Discover
31,31,787.097155178589,2024-01-29,JCB 16 digit
32,32,276.9161861736436,2024-02-08,VISA 16 digit
33,33,464.42758980914203,2024-01-27,VISA 16 digit
34,34,279.1477174606249,2024-03-26,VISA 16 digit
35,35,934.1291375530908,2024-03-01,VISA 13 digit
36,36,181.31286128973406,2024-02-16,Diners Club / Carte Blanche
37,37,1139.7784199927269,2024-02-12,JCB 16 digit
38,38,964.3829261812315,2024-01-18,VISA 19 digit
39,39,812.8327483118098,2024-01-07,VISA 19 digit
40,40,661.2808306083855,2024-04-19,VISA 19 digit
41,41,1202.7783688209797,2024-01-10,American Express
42,42,816.6983290442761,2024-05-02,Discover
43,43,411.5935616927719,2024-02-13,VISA 13 digit
44,44,332.54275772344,2024-04-07,VISA 16 digit
45,45,657.1697488670145,2024-03-11,American Express
46,46,825.8284848705439,2024-01-13,Maestro
47,47,906.5049970209697,2024-04-13,VISA 19 digit
48,48,568.2580784954665,2024-04-23,Mastercard
49,49,1040.0672092794393,2024-02-19,VISA 13 digit
50,50,1055.1910752832423,2024-04-21,VISA 19 digit
51,51,1091.6237441543162,2024-04-27,Discover
52,52,552.622784564626,2024-02-04,VISA 13 digit
53,53,654.1119924702376,2024-04-02,VISA 16 digit
54,54,739.4883166529858,2024-03-08,VISA 16 digit
55,55,388.426594952413,2024-01-20,VISA 16 digit
56,56,506.0870919593855,2024-03-05,VISA 13 digit
57,57,879.632176271304,2024-02-04,VISA 13 digit
58,58,804.7585064637955,2024-01-04,Mastercard
59,59,1031.2954306271836,2024-01-23,JCB 16 digit
